date,team,request_type,team_request_type,volume
2020-02-01 00:00:00,Team E,Request 17,Team E - Request 17,705
2020-02-01 00:00:00,Team E,Request 16,Team E - Request 16,21
2020-02-01 00:00:00,Team E,Request 15,Team E - Request 15,776
2020-02-01 00:00:00,Team E,Request 14,Team E - Request 14,613
2020-02-01 00:00:00,Team E,Request 13,Team E - Request 13,22
2020-02-01 00:00:00,Team E,Request 12,Team E - Request 12,568
2020-02-01 00:00:00,Team E,Request 11,Team E - Request 11,890
2020-02-01 00:00:00,Team D,Request 17,Team D - Request 17,26
2020-02-01 00:00:00,Team E,Request 10,Team E - Request 10,273
2020-02-01 00:00:00,Team E,Request 8,Team E - Request 8,561
2020-02-01 00:00:00,Team E,Request 7,Team E - Request 7,13
2020-02-01 00:00:00,Team E,Request 6,Team E - Request 6,476
2020-02-01 00:00:00,Team E,Request 5,Team E - Request 5,315
2020-02-01 00:00:00,Team E,Request 4,Team E - Request 4,94
2020-02-01 00:00:00,Team E,Request 3,Team E - Request 3,671
2020-02-01 00:00:00,Team E,Request 2,Team E - Request 2,509
2020-02-01 00:00:00,Team E,Request 1,Team E - Request 1,360
2020-02-01 00:00:00,Team D,Request 20,Team D - Request 20,790
2020-02-01 00:00:00,Team D,Request 19,Team D - Request 19,120
2020-02-01 00:00:00,Team E,Request 9,Team E - Request 9,660
2020-02-01 00:00:00,Team C,Request 11,Team C - Request 11,842
2020-02-01 00:00:00,Team B,Request 5,Team B - Request 5,965
2020-02-01 00:00:00,Team C,Request 9,Team C - Request 9,59
2020-02-01 00:00:00,Team B,Request 2,Team B - Request 2,432
2020-02-01 00:00:00,Team B,Request 1,Team B - Request 1,169
2020-02-01 00:00:00,Team A,Request 20,Team A - Request 20,629
2020-02-01 00:00:00,Team A,Request 19,Team A - Request 19,703
2020-02-01 00:00:00,Team A,Request 18,Team A - Request 18,730
2020-02-01 00:00:00,Team A,Request 17,Team A - Request 17,857
2020-02-01 00:00:00,Team A,Request 16,Team A - Request 16,403
2020-02-01 00:00:00,Team A,Request 15,Team A - Request 15,55
2020-02-01 00:00:00,Team A,Request 14,Team A - Request 14,293
2020-02-01 00:00:00,Team A,Request 13,Team A - Request 13,35
2020-02-01 00:00:00,Team B,Request 3,Team B - Request 3,230
2020-02-01 00:00:00,Team A,Request 12,Team A - Request 12,930
2020-02-01 00:00:00,Team A,Request 10,Team A - Request 10,411
2020-02-01 00:00:00,Team A,Request 9,Team A - Request 9,421
2020-02-01 00:00:00,Team A,Request 8,Team A - Request 8,196
2020-02-01 00:00:00,Team A,Request 7,Team A - Request 7,743
2020-02-01 00:00:00,Team A,Request 6,Team A - Request 6,248
2020-02-01 00:00:00,Team A,Request 5,Team A - Request 5,529
2020-02-01 00:00:00,Team A,Request 4,Team A - Request 4,517
2020-02-01 00:00:00,Team A,Request 3,Team A - Request 3,284
2020-02-01 00:00:00,Team A,Request 2,Team A - Request 2,723
2020-02-01 00:00:00,Team C,Request 10,Team C - Request 10,723
2020-02-01 00:00:00,Team A,Request 11,Team A - Request 11,427
2020-02-01 00:00:00,Team B,Request 4,Team B - Request 4,754
2020-02-01 00:00:00,Team A,Request 1,Team A - Request 1,856
2020-02-01 00:00:00,Team B,Request 6,Team B - Request 6,708
2020-02-01 00:00:00,Team C,Request 7,Team C - Request 7,383
2020-02-01 00:00:00,Team C,Request 6,Team C - Request 6,815
2020-02-01 00:00:00,Team C,Request 5,Team C - Request 5,984
2020-02-01 00:00:00,Team C,Request 4,Team C - Request 4,151
2020-02-01 00:00:00,Team C,Request 3,Team C - Request 3,68
2020-02-01 00:00:00,Team C,Request 2,Team C - Request 2,457
2020-02-01 00:00:00,Team C,Request 1,Team C - Request 1,435
2020-02-01 00:00:00,Team B,Request 20,Team B - Request 20,984
2020-02-01 00:00:00,Team B,Request 19,Team B - Request 19,47
2020-02-01 00:00:00,Team B,Request 18,Team B - Request 18,258
2020-02-01 00:00:00,Team C,Request 8,Team C - Request 8,836
2020-02-01 00:00:00,Team B,Request 16,Team B - Request 16,72
2020-02-01 00:00:00,Team B,Request 15,Team B - Request 15,731
2020-02-01 00:00:00,Team B,Request 14,Team B - Request 14,796
2020-02-01 00:00:00,Team B,Request 13,Team B - Request 13,24
2020-02-01 00:00:00,Team B,Request 12,Team B - Request 12,248
2020-02-01 00:00:00,Team B,Request 11,Team B - Request 11,877
2020-02-01 00:00:00,Team B,Request 10,Team B - Request 10,881
2020-02-01 00:00:00,Team B,Request 9,Team B - Request 9,327
2020-02-01 00:00:00,Team B,Request 8,Team B - Request 8,370
2020-02-01 00:00:00,Team B,Request 7,Team B - Request 7,839
2020-02-01 00:00:00,Team B,Request 17,Team B - Request 17,737
2020-03-01 00:00:00,Team D,Request 6,Team D - Request 6,417
2020-03-01 00:00:00,Team D,Request 7,Team D - Request 7,729
2020-03-01 00:00:00,Team D,Request 8,Team D - Request 8,776
2020-03-01 00:00:00,Team D,Request 13,Team D - Request 13,554
2020-03-01 00:00:00,Team D,Request 10,Team D - Request 10,242
2020-03-01 00:00:00,Team D,Request 11,Team D - Request 11,614
2020-03-01 00:00:00,Team D,Request 12,Team D - Request 12,659
2020-03-01 00:00:00,Team D,Request 5,Team D - Request 5,972
2020-03-01 00:00:00,Team D,Request 9,Team D - Request 9,775
2020-03-01 00:00:00,Team D,Request 4,Team D - Request 4,568
2020-03-01 00:00:00,Team C,Request 18,Team C - Request 18,806
2020-03-01 00:00:00,Team D,Request 2,Team D - Request 2,135
2020-03-01 00:00:00,Team D,Request 1,Team D - Request 1,531
2020-03-01 00:00:00,Team C,Request 20,Team C - Request 20,165
2020-03-01 00:00:00,Team C,Request 19,Team C - Request 19,391
2020-03-01 00:00:00,Team C,Request 17,Team C - Request 17,415
2020-03-01 00:00:00,Team C,Request 16,Team C - Request 16,366
2020-03-01 00:00:00,Team C,Request 15,Team C - Request 15,143
2020-03-01 00:00:00,Team C,Request 14,Team C - Request 14,916
2020-03-01 00:00:00,Team C,Request 13,Team C - Request 13,447
2020-03-01 00:00:00,Team D,Request 14,Team D - Request 14,163
2020-03-01 00:00:00,Team D,Request 3,Team D - Request 3,34
2020-03-01 00:00:00,Team D,Request 16,Team D - Request 16,119
2020-03-01 00:00:00,Team E,Request 8,Team E - Request 8,222
2020-03-01 00:00:00,Team D,Request 18,Team D - Request 18,80
2020-03-01 00:00:00,Team E,Request 20,Team E - Request 20,386
2020-03-01 00:00:00,Team E,Request 19,Team E - Request 19,616
2020-03-01 00:00:00,Team E,Request 18,Team E - Request 18,590
2020-03-01 00:00:00,Team E,Request 17,Team E - Request 17,668
2020-03-01 00:00:00,Team E,Request 16,Team E - Request 16,120
2020-03-01 00:00:00,Team E,Request 15,Team E - Request 15,850
2020-03-01 00:00:00,Team E,Request 14,Team E - Request 14,163
2020-03-01 00:00:00,Team E,Request 13,Team E - Request 13,719
2020-03-01 00:00:00,Team E,Request 12,Team E - Request 12,688
2020-03-01 00:00:00,Team E,Request 11,Team E - Request 11,482
2020-03-01 00:00:00,Team D,Request 17,Team D - Request 17,91
2020-03-01 00:00:00,Team E,Request 10,Team E - Request 10,388
2020-03-01 00:00:00,Team C,Request 12,Team C - Request 12,732
2020-03-01 00:00:00,Team E,Request 7,Team E - Request 7,154
2020-03-01 00:00:00,Team E,Request 6,Team E - Request 6,181
2020-03-01 00:00:00,Team E,Request 5,Team E - Request 5,302
2020-03-01 00:00:00,Team E,Request 4,Team E - Request 4,194
2020-03-01 00:00:00,Team E,Request 3,Team E - Request 3,64
2020-03-01 00:00:00,Team E,Request 2,Team E - Request 2,413
2020-03-01 00:00:00,Team E,Request 1,Team E - Request 1,863
2020-03-01 00:00:00,Team D,Request 20,Team D - Request 20,82
2020-03-01 00:00:00,Team D,Request 19,Team D - Request 19,618
2020-03-01 00:00:00,Team E,Request 9,Team E - Request 9,611
2020-03-01 00:00:00,Team C,Request 11,Team C - Request 11,114
2020-03-01 00:00:00,Team D,Request 15,Team D - Request 15,754
2020-03-01 00:00:00,Team C,Request 9,Team C - Request 9,566
2020-03-01 00:00:00,Team B,Request 3,Team B - Request 3,171
2020-03-01 00:00:00,Team B,Request 2,Team B - Request 2,561
2020-03-01 00:00:00,Team B,Request 1,Team B - Request 1,355
2020-03-01 00:00:00,Team A,Request 20,Team A - Request 20,509
2020-03-01 00:00:00,Team A,Request 19,Team A - Request 19,250
2020-03-01 00:00:00,Team A,Request 18,Team A - Request 18,773
2020-03-01 00:00:00,Team A,Request 17,Team A - Request 17,460
2020-03-01 00:00:00,Team A,Request 16,Team A - Request 16,578
2020-03-01 00:00:00,Team A,Request 15,Team A - Request 15,767
2020-03-01 00:00:00,Team A,Request 14,Team A - Request 14,295
2020-03-01 00:00:00,Team B,Request 4,Team B - Request 4,732
2020-03-01 00:00:00,Team A,Request 13,Team A - Request 13,83
2020-03-01 00:00:00,Team A,Request 11,Team A - Request 11,272
2020-03-01 00:00:00,Team A,Request 10,Team A - Request 10,446
2020-03-01 00:00:00,Team A,Request 9,Team A - Request 9,271
2020-03-01 00:00:00,Team A,Request 8,Team A - Request 8,725
2020-03-01 00:00:00,Team A,Request 7,Team A - Request 7,380
2020-03-01 00:00:00,Team A,Request 6,Team A - Request 6,977
2020-03-01 00:00:00,Team A,Request 5,Team A - Request 5,377
2020-03-01 00:00:00,Team A,Request 4,Team A - Request 4,925
2020-03-01 00:00:00,Team A,Request 3,Team A - Request 3,291
2020-03-01 00:00:00,Team A,Request 2,Team A - Request 2,629
2020-03-01 00:00:00,Team A,Request 12,Team A - Request 12,241
2020-03-01 00:00:00,Team B,Request 5,Team B - Request 5,427
2020-03-01 00:00:00,Team A,Request 1,Team A - Request 1,95
2020-03-01 00:00:00,Team B,Request 6,Team B - Request 6,697
2020-03-01 00:00:00,Team C,Request 10,Team C - Request 10,393
2020-03-01 00:00:00,Team C,Request 8,Team C - Request 8,532
2020-03-01 00:00:00,Team C,Request 7,Team C - Request 7,421
2020-03-01 00:00:00,Team C,Request 6,Team C - Request 6,792
2020-03-01 00:00:00,Team C,Request 5,Team C - Request 5,147
2020-03-01 00:00:00,Team C,Request 4,Team C - Request 4,475
2020-03-01 00:00:00,Team C,Request 3,Team C - Request 3,543
2020-03-01 00:00:00,Team C,Request 1,Team C - Request 1,48
2020-03-01 00:00:00,Team B,Request 20,Team B - Request 20,109
2020-03-01 00:00:00,Team B,Request 19,Team B - Request 19,231
2020-03-01 00:00:00,Team B,Request 18,Team B - Request 18,730
2020-03-01 00:00:00,Team C,Request 2,Team C - Request 2,565
2020-03-01 00:00:00,Team B,Request 16,Team B - Request 16,596
2020-03-01 00:00:00,Team B,Request 15,Team B - Request 15,481
2020-03-01 00:00:00,Team B,Request 14,Team B - Request 14,539
2020-03-01 00:00:00,Team B,Request 7,Team B - Request 7,802
2020-03-01 00:00:00,Team B,Request 13,Team B - Request 13,649
2020-03-01 00:00:00,Team B,Request 12,Team B - Request 12,458
2020-03-01 00:00:00,Team B,Request 11,Team B - Request 11,569
2020-03-01 00:00:00,Team B,Request 10,Team B - Request 10,300
2020-03-01 00:00:00,Team B,Request 9,Team B - Request 9,749
2020-03-01 00:00:00,Team B,Request 8,Team B - Request 8,353
2020-03-01 00:00:00,Team B,Request 17,Team B - Request 17,752
2020-04-01 00:00:00,Team D,Request 6,Team D - Request 6,50
2020-04-01 00:00:00,Team D,Request 7,Team D - Request 7,186
2020-04-01 00:00:00,Team D,Request 8,Team D - Request 8,140
2020-04-01 00:00:00,Team D,Request 13,Team D - Request 13,202
2020-04-01 00:00:00,Team D,Request 10,Team D - Request 10,384
2020-04-01 00:00:00,Team D,Request 11,Team D - Request 11,894
2020-04-01 00:00:00,Team D,Request 12,Team D - Request 12,689
2020-04-01 00:00:00,Team D,Request 5,Team D - Request 5,711
2020-04-01 00:00:00,Team D,Request 9,Team D - Request 9,288
2020-04-01 00:00:00,Team D,Request 4,Team D - Request 4,915
2020-04-01 00:00:00,Team C,Request 13,Team C - Request 13,909
2020-04-01 00:00:00,Team D,Request 2,Team D - Request 2,848
2020-04-01 00:00:00,Team D,Request 1,Team D - Request 1,226
2020-04-01 00:00:00,Team C,Request 20,Team C - Request 20,485
2020-04-01 00:00:00,Team C,Request 19,Team C - Request 19,941
2020-04-01 00:00:00,Team C,Request 18,Team C - Request 18,101
2020-04-01 00:00:00,Team C,Request 17,Team C - Request 17,869
2020-04-01 00:00:00,Team C,Request 16,Team C - Request 16,636
2020-04-01 00:00:00,Team C,Request 15,Team C - Request 15,609
2020-04-01 00:00:00,Team C,Request 14,Team C - Request 14,803
2020-04-01 00:00:00,Team D,Request 14,Team D - Request 14,57
2020-04-01 00:00:00,Team D,Request 3,Team D - Request 3,18
2020-04-01 00:00:00,Team D,Request 15,Team D - Request 15,855
2020-04-01 00:00:00,Team E,Request 7,Team E - Request 7,371
2020-04-01 00:00:00,Team D,Request 17,Team D - Request 17,963
2020-04-01 00:00:00,Team C,Request 12,Team C - Request 12,882
2020-04-01 00:00:00,Team E,Request 19,Team E - Request 19,345
2020-04-01 00:00:00,Team E,Request 18,Team E - Request 18,687
2020-04-01 00:00:00,Team E,Request 17,Team E - Request 17,663
2020-04-01 00:00:00,Team E,Request 16,Team E - Request 16,488
2020-04-01 00:00:00,Team E,Request 15,Team E - Request 15,825
2020-04-01 00:00:00,Team E,Request 14,Team E - Request 14,167
2020-04-01 00:00:00,Team E,Request 13,Team E - Request 13,214
2020-04-01 00:00:00,Team E,Request 12,Team E - Request 12,669
2020-04-01 00:00:00,Team E,Request 11,Team E - Request 11,58
2020-04-01 00:00:00,Team D,Request 16,Team D - Request 16,157
2020-04-01 00:00:00,Team E,Request 10,Team E - Request 10,920
2020-04-01 00:00:00,Team E,Request 8,Team E - Request 8,171
2020-04-01 00:00:00,Team E,Request 6,Team E - Request 6,517
2020-04-01 00:00:00,Team E,Request 5,Team E - Request 5,802
2020-04-01 00:00:00,Team E,Request 4,Team E - Request 4,997
2020-04-01 00:00:00,Team E,Request 3,Team E - Request 3,813
2020-04-01 00:00:00,Team E,Request 2,Team E - Request 2,657
2020-04-01 00:00:00,Team E,Request 1,Team E - Request 1,956
2020-04-01 00:00:00,Team D,Request 20,Team D - Request 20,245
2020-04-01 00:00:00,Team D,Request 19,Team D - Request 19,470
2020-04-01 00:00:00,Team D,Request 18,Team D - Request 18,827
2020-04-01 00:00:00,Team E,Request 9,Team E - Request 9,379
2020-04-01 00:00:00,Team C,Request 11,Team C - Request 11,387
2020-04-01 00:00:00,Team E,Request 20,Team E - Request 20,728
2020-04-01 00:00:00,Team C,Request 9,Team C - Request 9,327
2020-04-01 00:00:00,Team B,Request 2,Team B - Request 2,464
2020-04-01 00:00:00,Team B,Request 1,Team B - Request 1,836
2020-04-01 00:00:00,Team A,Request 20,Team A - Request 20,480
2020-04-01 00:00:00,Team A,Request 19,Team A - Request 19,887
2020-04-01 00:00:00,Team A,Request 18,Team A - Request 18,67
2020-04-01 00:00:00,Team A,Request 17,Team A - Request 17,612
2020-04-01 00:00:00,Team A,Request 16,Team A - Request 16,472
2020-04-01 00:00:00,Team A,Request 15,Team A - Request 15,425
2020-04-01 00:00:00,Team A,Request 14,Team A - Request 14,914
2020-04-01 00:00:00,Team A,Request 13,Team A - Request 13,138
2020-04-01 00:00:00,Team B,Request 3,Team B - Request 3,908
2020-04-01 00:00:00,Team A,Request 12,Team A - Request 12,710
2020-04-01 00:00:00,Team A,Request 10,Team A - Request 10,875
2020-04-01 00:00:00,Team A,Request 9,Team A - Request 9,705
2020-04-01 00:00:00,Team A,Request 8,Team A - Request 8,277
2020-04-01 00:00:00,Team A,Request 7,Team A - Request 7,691
2020-04-01 00:00:00,Team A,Request 6,Team A - Request 6,906
2020-04-01 00:00:00,Team A,Request 5,Team A - Request 5,200
2020-04-01 00:00:00,Team A,Request 4,Team A - Request 4,269
2020-04-01 00:00:00,Team A,Request 3,Team A - Request 3,999
2020-04-01 00:00:00,Team A,Request 2,Team A - Request 2,333
2020-04-01 00:00:00,Team A,Request 1,Team A - Request 1,361
2020-04-01 00:00:00,Team A,Request 11,Team A - Request 11,199
2020-04-01 00:00:00,Team B,Request 4,Team B - Request 4,790
2020-04-01 00:00:00,Team C,Request 10,Team C - Request 10,79
2020-04-01 00:00:00,Team B,Request 6,Team B - Request 6,852
2020-04-01 00:00:00,Team C,Request 8,Team C - Request 8,802
2020-04-01 00:00:00,Team C,Request 7,Team C - Request 7,601
2020-04-01 00:00:00,Team C,Request 6,Team C - Request 6,724
2020-04-01 00:00:00,Team C,Request 5,Team C - Request 5,464
2020-04-01 00:00:00,Team C,Request 4,Team C - Request 4,177
2020-04-01 00:00:00,Team C,Request 3,Team C - Request 3,697
2020-04-01 00:00:00,Team B,Request 5,Team B - Request 5,825
2020-04-01 00:00:00,Team C,Request 1,Team C - Request 1,329
2020-04-01 00:00:00,Team B,Request 20,Team B - Request 20,975
2020-04-01 00:00:00,Team B,Request 19,Team B - Request 19,290
2020-04-01 00:00:00,Team B,Request 18,Team B - Request 18,527
2020-04-01 00:00:00,Team C,Request 2,Team C - Request 2,941
2020-04-01 00:00:00,Team B,Request 16,Team B - Request 16,459
2020-04-01 00:00:00,Team B,Request 15,Team B - Request 15,409
2020-04-01 00:00:00,Team B,Request 14,Team B - Request 14,891
2020-04-01 00:00:00,Team B,Request 13,Team B - Request 13,481
2020-04-01 00:00:00,Team B,Request 12,Team B - Request 12,536
2020-04-01 00:00:00,Team B,Request 11,Team B - Request 11,950
2020-04-01 00:00:00,Team B,Request 10,Team B - Request 10,908
2020-04-01 00:00:00,Team B,Request 9,Team B - Request 9,355
2020-04-01 00:00:00,Team B,Request 8,Team B - Request 8,360
2020-04-01 00:00:00,Team B,Request 7,Team B - Request 7,893
2020-04-01 00:00:00,Team B,Request 17,Team B - Request 17,743
2020-05-01 00:00:00,Team D,Request 5,Team D - Request 5,112
2020-05-01 00:00:00,Team D,Request 6,Team D - Request 6,30
2020-05-01 00:00:00,Team D,Request 7,Team D - Request 7,346
2020-05-01 00:00:00,Team D,Request 8,Team D - Request 8,97
2020-05-01 00:00:00,Team D,Request 13,Team D - Request 13,189
2020-05-01 00:00:00,Team D,Request 10,Team D - Request 10,352
2020-05-01 00:00:00,Team D,Request 11,Team D - Request 11,127
2020-05-01 00:00:00,Team D,Request 12,Team D - Request 12,890
2020-05-01 00:00:00,Team D,Request 9,Team D - Request 9,941
2020-05-01 00:00:00,Team D,Request 4,Team D - Request 4,449
2020-05-01 00:00:00,Team C,Request 12,Team C - Request 12,217
2020-05-01 00:00:00,Team D,Request 2,Team D - Request 2,929
2020-05-01 00:00:00,Team D,Request 1,Team D - Request 1,711
2020-05-01 00:00:00,Team C,Request 20,Team C - Request 20,486
2020-05-01 00:00:00,Team C,Request 19,Team C - Request 19,450
2020-05-01 00:00:00,Team C,Request 18,Team C - Request 18,69
2020-05-01 00:00:00,Team C,Request 17,Team C - Request 17,427
2020-05-01 00:00:00,Team C,Request 16,Team C - Request 16,521
2020-05-01 00:00:00,Team C,Request 15,Team C - Request 15,481
2020-05-01 00:00:00,Team C,Request 14,Team C - Request 14,123
2020-05-01 00:00:00,Team C,Request 13,Team C - Request 13,385
2020-05-01 00:00:00,Team D,Request 14,Team D - Request 14,730
2020-05-01 00:00:00,Team D,Request 3,Team D - Request 3,834
